Year,Category,NumRequests,NumRepbySCF,ProblemType;
2009,1,100,0,StreetSweeping;
2009,2,400,0,RoadRepair;
2009,3,50,0,Survey;
2009,4,50,0,StreetLights;
2009,5,50,0,VegetationControl;
2009,6,500,0,BuildingMaintenance;
2009,7,100,0,Graffiti;
2009,8,50,0,Drainage;
2009,9,1000,0,Electrical;
2009,10,3000,0,IllegalDumping;
2010,1,400,60,StreetSweeping;
2010,2,500,25,RoadRepair;
2010,3,50,2.5,Survey;
2010,4,50,10,StreetLights;
2010,5,50,5,VegetationControl;
2010,6,2400,48,BuildingMaintenance;
2010,7,950,47.5,Graffiti;
2010,8,150,22.5,Drainage;
2010,9,3000,150,Electrical;
2010,10,5000,500,IllegalDumping;
2011,1,1000,200,StreetSweeping;
2011,2,750,75,RoadRepair;
2011,3,50,5,Survey;
2011,4,50,12.5,StreetLights;
2011,5,50,5,VegetationControl;
2011,6,4000,400,BuildingMaintenance;
2011,7,900,360,Graffiti;
2011,8,300,60,Drainage;
2011,9,3200,320,Electrical;
2011,10,6500,1300,IllegalDumping;
2012,1,1100,330,StreetSweeping;
2012,2,900,180,RoadRepair;
2012,3,50,5,Survey;
2012,4,100,30,StreetLights;
2012,5,50,7.5,VegetationControl;
2012,6,4500,675,BuildingMaintenance;
2012,7,1000,550,Graffiti;
2012,8,400,100,Drainage;
2012,9,3300,660,Electrical;
2012,10,7200,3240,IllegalDumping
